LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
NEMOUR,Kaylia,w,ALG,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,3,6.8,7.933,,14.733
PHILLIPS,Curran,m,USA,9-12 Mar 2023,2023 Baku World Cup,final,"Baku, Azerbaijan",PB,5,6.8,7.7,,14.5
PHILLIPS,Curran,m,USA,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",PB,1,6.8,8.7,,15.5
PHILLIPS,Curran,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",PB,,6.8,8.75,,15.55
PHILLIPS,Curran,m,USA,24-26 Feb 2023,2023 Winter Cup,AAfinal,"Louisville, Kentucky",PB,1,6.8,8.6,,15.4
PHILLIPS,Curran,m,USA,21-25 Oct 2023,SANTIAGO 2023 XIX Pan American Games,final,"Santiago, Chile",PB,1,6.8,8.6,,15.4
PHILLIPS,Curran,m,USA,21-25 Oct 2023,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",PB,1,6.8,7.666,,14.466
PHILLIPS,Curran Michael,m,USA,26-28 May 2023,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",PB,,6.8,7.133,,13.933
WHITLOCK,Max,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,1,6.8,8.466,,15.266
BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,1,6.4,9.366,0.5,15.266
BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,,6.7,8.466,,15.166
BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",VT,1,5.6,9.5,,15.1
CALVO MORENO,Jossimar Orlando,m,COL,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,5,6.7,8.266,,14.966
CALVO MORENO,Jossimar Orlando,m,COL,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,6,6.7,8.466,,15.166
HASHIMOTO,Daiki,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,1,6.7,8.4,,15.1
HASHIMOTO,Daiki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",HB,1,6.7,8.533,,15.233
HASHIMOTO,Daiki,m,JPN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",HB,1,6.7,8.566,,15.266000000000002
JARMAN,Jake,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,3,6.7,7.733,,14.433
JARMAN,Jake,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,24,6.7,7.2,,13.9
JARMAN,Jake,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,11,6.7,7.866,0.2,14.366
JARMAN,Jake,m,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,final,"Liverpool, England",FX,2,6.7,7.7,0,14.4
JARMAN,Jake,m,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,4,6.7,6.65,0,13.35
JARMAN,Jake,m,GBR,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,1,6.7,7.766,0.1,14.366
KOVTUN,Illia,m,UKR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",PB,2,6.7,8.466,,15.166
KOVTUN,Illia,m,UKR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,2,6.7,8.533,,15.233
KURBANOV,Nariman,m,KAZ,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",PH,7,6.7,7.45,,14.15
NATHAN,Joshua,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",PH,4,6.7,6.2,0,12.9
NATHAN,Joshua,m,GBR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,6,6.7,7.3,,14
NATHAN,Joshua,m,GBR,24-27 Feb 2022,2022 Cottbus World Cup,final,"Cottbus, Germany",PH,4,6.7,7.433,,14.133
NEMOUR,Kaylia,w,ALG,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",UB,2,6.7,8.333,,15.033
PHILLIPS,Curran,m,USA,16-19 June 2022,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",PB,1,6.7,8.05,,14.75
PHILLIPS,Curran,m,USA,25-27 Feb 2022,2022 Winter Cup,AAfinal,"Frisco, Texas",PB,1,6.7,8.45,,15.15
QIU,Qiyuan,w,CHN,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,final,Singapore,UB,1,6.7,7.633,,14.333
QIU,Qiyuan,w,CHN,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,UB,1,6.7,8.533,,15.233
QIU,Qiyuan,w,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",UB,1,6.7,8.4,,15.1
WHITLOCK OBE,Max,m,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",PH,1,6.7,8.4,0,15.1
YOU,Hao,m,CHN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",SR,5,6.7,7.9,,14.6
YOU,Hao,m,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,30,6.7,7.533,,14.233
YOU,Hao,m,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PB,,6.7,8.266,,14.966
YOU,Hao,m,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",SR,3,6.7,8.133,,14.833
ARICAN,Ferhat,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,4,6.6,8.466,,15.066
ARICAN,Ferhat,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,5,6.6,8.6,,15.2
ARICAN,Ferhat,m,TUR,7-9 Oct 2022,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",PB,1,6.6,8.2,,14.8
ARICAN,Ferhat,m,TUR,7-9 Oct 2022,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",PB,1,6.6,8.55,,15.15
DAUSER,Lukas,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,2,6.6,8.566,,15.166
DAUSER,Lukas,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,2,6.6,8.9,,15.5
DAUSER,Lukas,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,3,6.6,8.8,,15.4
DAUSER,Lukas,m,GER,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,1,6.6,8.933,,15.533
DAUSER,Lukas,m,GER,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",PB,1,6.6,8.8,,15.4
DAUSER,Lukas,m,GER,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",PB,1,6.6,8.8,,15.4
DAUSER,Lukas,m,GER,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,1,6.6,8.7,,15.3
DAUSER,Lukas,m,GER,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PB,,6.6,8.766,,15.366
HASHIMOTO,Daiki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,1,6.6,8.4,,15
KOVTUN,Illia,m,UKR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,7,6.6,8,,14.6
KOVTUN,Illia,m,UKR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,9,6.6,8.366,,14.966
KOVTUN,Illia,m,UKR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",PB,1,6.6,8.733,,15.333
KOVTUN,Illia,m,UKR,18-21 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",PB,2,6.6,8.733,,15.333
KOVTUN,Illia,m,UKR,9-12 Mar 2023,2023 Baku World Cup,final,"Baku, Azerbaijan",PB,2,6.6,8.766,,15.366
KOVTUN,Illia,m,UKR,23-26 Feb 2023,2023 Cottbus World Cup,final,"Cottbus, Germany",PB,1,6.6,8.766,,15.366
KOVTUN,Illia,m,UKR,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,1,6.6,8.833,,15.433
KOVTUN,Illia,m,UKR,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",PB,1,6.6,8.566,,15.166
KURBANOV,Nariman,m,KAZ,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,1,6.6,8.666,,15.266
KURBANOV,Nariman,m,KAZ,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,final,Singapore,PH,1,6.6,8.733,,15.333
KURBANOV,Nariman,m,KAZ,9-12 Mar 2023,2023 Baku World Cup,final,"Baku, Azerbaijan",PH,1,6.6,8.7,,15.3
KURBANOV,Nariman,m,KAZ,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",PH,1,6.6,8.466,,15.066
KURBANOV,Nariman,m,KAZ,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,1,6.6,8.6,,15.2
KURBANOV,Nariman,m,KAZ,1-4 Mar 2023,2023 Doha World Cup,final,"Doha, Qatar",PH,1,6.6,8.8,,15.4
KURBANOV,Nariman,m,KAZ,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",PH,1,6.6,8.566,,15.166
MC CLENAGHAN,Rhys,m,IRL,9-12 Mar 2023,2023 Baku World Cup,final,"Baku, Azerbaijan",PH,2,6.6,8.333,,14.933
MOLDAUER,Yul,m,USA,25-27 Feb 2022,2022 Winter Cup,AAfinal,"Frisco, Texas",PB,2,6.6,7.95,,14.55
MOLDAUER,Yul,m,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,4,6.6,8.366,,14.966
MOLDAUER,Yul,m,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PB,,6.6,8.333,,14.933
MOLDAUER,Yul,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",PB,5,6.6,7.95,,14.55
MOLDAUER,Yul,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",PB,,6.6,8.8,,15.4
MOLDAUER,Yul,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",PB,,6.6,8.55,,15.15
NEDOROSCIK,Stephen,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",PH,1,6.6,7.95,,14.55
NEDOROSCIK,Stephen,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",PH,,6.6,8.25,,14.85
NEDOROSCIK,Stephen,m,USA,21-25 Oct 2023,SANTIAGO 2023 XIX Pan American Games,final,"Santiago, Chile",PH,5,6.6,7.166,,13.766
ONDER,Ahmet,m,TUR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,7,6.6,8.066,,14.666
TSUMURA,Ryota,m,JPN,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,PH,1,6.6,8.633,,15.233
TSUMURA,Ryota,m,JPN,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,final,Singapore,PH,3,6.6,8.433,,15.033
VERNIAIEV,Oleg,m,UKR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,9,6.6,8.2,,14.8
WEI,Xiaoyuan,w,CHN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",UB,1,6.6,8.366,,14.966
WEI,Xiaoyuan,w,CHN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",UB,,6.6,8.133,,14.733
YOUNG,Khoi,m,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,2,6.6,8.466,,15.066
ZHANG,Qingying,w,CHN,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,BB,1,6.6,8.233,,14.833
ZHOU,Yaqin,w,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,,6.6,7.933,,14.533
ÖNDER,Ahmet,m,TUR,9-12 June 2022,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",PB,15,6.6,6.95,,13.55
ARICAN,Ferhat,m,TUR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",PB,2,6.5,8.4,,14.9
ARICAN,Ferhat,m,TUR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,qual,"Baku, Azerbaijan",PB,1,6.5,8.6,,15.1
ARICAN,Ferhat,m,TUR,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",PB,3,6.5,7.9,,14.4
ARICAN,Ferhat,m,TUR,17-20 Mar 2022,2022 Cairo World Cup,final,"Cairo, Egypt",PB,2,6.5,8.3,,14.8
ARICAN,Ferhat,m,TUR,9-12 June 2022,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",PB,1,6.5,8.9,,15.4
ARICAN,Ferhat,m,TUR,9-12 June 2022,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",PB,1,6.5,8.3,,14.8
ARICAN,Ferhat,m,TUR,18-21 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",PB,7,6.5,7.2,,13.7
ARICAN,Ferhat,m,TUR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,5,6.5,8.2,,14.7
ARICAN,Ferhat,m,TUR,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,2,6.5,8.7,,15.2
ARICAN,Ferhat,m,TUR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,63,6.5,7.266,,13.766
ARICAN,Ferhat,m,TUR,23-26 Feb 2023,2023 Cottbus World Cup,final,"Cottbus, Germany",PB,5,6.5,8,,14.5
ARICAN,Ferhat,m,TUR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PB,3,6.5,8.2,,14.7
ARICAN,Ferhat,m,TUR,1-4 Mar 2023,2023 Doha World Cup,final,"Doha, Qatar",PB,3,6.5,8.233,,14.733
ARICAN,Ferhat,m,TUR,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",PB,3,6.5,8.233,,14.733
ARICAN,Ferhat,m,TUR,8-11 Jun 2023,2023 Osijek World Challenge Cup,final,"Osijek, Croatia.",PB,2,6.5,8.466,,14.966
ARICAN,Ferhat,m,TUR,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",PB,2,6.5,8.433,,14.933
ARICAN,Ferhat,m,TUR,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PB,1,6.5,8.6,,15.1
ARICAN,Ferhat,m,TUR,1-4 Jun 2023,2023 Tel Aviv World Challenge Cup,final,"Tel Aviv, Israel",PB,5,6.5,7.1,,13.6
ARICAN,Ferhat,m,TUR,1-4 Jun 2023,2023 Tel Aviv World Challenge Cup,qual,"Tel Aviv, Israel",PB,1,6.5,8.6,,15.1
ARICAN,Ferhat,m,TUR,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",PB,3,6.5,7.766,,14.266
ARICAN,Ferhat,m,TUR,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PB,8,6.5,7.85,,14.35
JONES,Shilese,w,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",UB,,6.3,8.7,,15
BILES,Simone,w,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",FX,1,6.8,8.1,,14.9
JONES,Shilese,w,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",UB,,6.3,8.6,,14.9
BILES,Simone,w,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",BB,,6.5,8.35,,14.85
DANG,Ngoc Xuan Thien,m,VIE,24-29 Sep 2023,HANGZHOU 2022 19th Asian Games,final,"Hangzhou, China",PH,5,6.5,8.266,,14.766
DE MUNCK,Loran,m,NED,27-30 Apr 2023,2023 Cairo World Cup,final,"Cairo, Egypt",PH,6,6.5,7.133,,13.633
DE MUNCK,Loran,m,NED,27-30 Apr 2023,2023 Cairo World Cup,qual,"Cairo, Egypt",PH,5,6.5,7.833,,14.333
DE MUNCK,Loran,m,NED,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",PH,4,6.5,7.766,,14.266
DE MUNCK,Loran,m,NED,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PH,2,6.5,8.166,,14.666
DE ROSA,Edoardo,m,ITA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",PH,1,6.5,8.2,,14.7
DOLGOPYAT,Artem,m,ISR,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",FX,1,6.5,8.55,0.1,14.95
DOLGOPYAT,Artem,m,ISR,30 Sept 2022 - 2 Oct 2022,2022 Szombathely World Challenge Cup,final,"Szombathely, Hungary",FX,4,6.5,8.1,0.1,14.5
DOLGOPYAT,Artem,m,ISR,30 Sept 2022 - 2 Oct 2022,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",FX,1,6.5,8.65,,15.15
FRASER,Joe,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,8,6.5,8.2,,14.7
FRASER,Joe,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,7,6.5,8.566,,15.066
FRASER,Joe,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PB,,6.5,8.5,,15
FRASER,Joe,m,GBR,18-21 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",PB,1,6.5,8.833,,15.333
FRASER,Joe,m,GBR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,1,6.5,8.566,,15.066
FRASER,Joe,m,GBR,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,3,6.5,8.666,,15.166
FRASER,Joe,m,ENG,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",PB,1,6.5,8.5,,15
FRASER,Joe,m,ENG,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PB,2,6.5,8.1,,14.6
HOOPES,Patrick,m,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",PH,9,6.5,5.75,,12.25
HOOPES,Patrick,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",PH,,6.5,7.8,0.3,14
HOOPES,Patrick,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",PH,,6.5,6.55,,13.05
HUANG,Zhuofan,w,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",UB,4,6.5,8.266,,14.766
HUANG,Zhuofan,w,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,4,6.5,8.033,,14.533
HUANG,Zhuofan,w,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",UB,,6.5,8.033,,14.533
JARMAN,Jake,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,2,6.5,8,,14.5
JARMAN,Jake,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,,6.5,8.033,,14.533
JARMAN,Jake,m,GBR,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,13,6.5,7.433,0.1,13.833
KAMOTO,Yuya,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,6,6.5,8.4,,14.9
KAMOTO,Yuya,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,2,6.5,8.933,,15.433
KAMOTO,Yuya,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PB,,6.5,8.266,,14.766
KAYA,Kazuma,m,JPN,1-5 Aug 2023,2023 FISU World University Games,final,"Chengdu, China",PH,4,6.5,8.133,,14.633
KHACHIKYAN,Gagik,m,ARM,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,9,6.5,8.1,,14.6
KURBANOV,Nariman,m,KAZ,23-26 Feb 2023,2023 Cottbus World Cup,final,"Cottbus, Germany",PH,3,6.5,8.3,,14.8
LEE,Chih,m,TPE,1-5 Aug 2023,2023 FISU World University Games,final,"Chengdu, China",PH,1,6.5,9,,15.5
LEE,Chih Kai,m,TPE,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",PH,8,6.5,7,,13.5
LEE,Chih Kai,m,TPE,27-30 Apr 2023,2023 Cairo World Cup,final,"Cairo, Egypt",PH,1,6.5,8.533,,15.033
LEE,Chih Kai,m,TPE,23-26 Feb 2023,2023 Cottbus World Cup,final,"Cottbus, Germany",PH,7,6.5,7.8,,14.3
LEE,Chih Kai,m,TPE,24-29 Sep 2023,HANGZHOU 2022 19th Asian Games,final,"Hangzhou, China",PH,1,6.5,9,,15.5
LEE,Chih-Kai,m,TPE,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,final,"Doha, Qatar",PH,4,6.5,7.733,,14.233
LEVANTESI,Matteo,m,ITA,23-26 Feb 2023,2023 Cottbus World Cup,final,"Cottbus, Germany",PB,2,6.5,8.766,,15.266
LEWIS,Jamie,m,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",PH,2,6.5,8.1,0,14.6
MC CLENAGHAN,Rhys,m,IRL,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",PH,6,6.5,7.7,,14.2
MINAMI,Kazuki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",FX,2,6.5,8.166,,14.666
MINAMI,Kazuki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,,6.5,7.933,,14.433
MOLDAUER,Yul,m,USA,24-26 Feb 2023,2023 Winter Cup,AAfinal,"Louisville, Kentucky",PB,2,6.5,8.3,,14.8
MOLDAUER,Yul,m,USA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PB,10,6.5,7.8,,14.3
MUNCK,Loran,m,NED,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,10,6.5,7.966,,14.466
